filename, language, C, C++, Java, Batch, comment, blank, total
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Class$T.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Class.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Dec$DecSingle.class, Java, 0, 0, 6, 0, 0, 0, 6
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Dec$T.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Dec.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$MainClass$MainClassSingle.class, Java, 0, 0, 7, 0, 0, 0, 7
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$MainClass$T.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$MainClass.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Method$MethodSingle.class, Java, 0, 0, 7, 0, 6, 0, 13
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Method$T.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Method.class, Java, 0, 0, 5, 0, 0, 0, 5
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Program$ProgramSingle.class, Java, 0, 0, 8, 0, 0, 0, 8
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\dalvik\Ast$Program$T.class, Java, 0, 0, 5, 0, 0, 0, 5
